"StoryType";"Pag";"N";"Url";"Schema";"Www";"Dominio";"Percorso";"Frammento";"Lunghezza";"tinyurl"
2;256;1;"https://it.wikipedia.org/wiki/Dizionario_Geografico_Fisico_Storico_della_Toscana";"https://";"";"it.wikipedia.org";"wiki/Dizionario_Geografico_Fisico_Storico_della_Toscana";"";80;
2;257;1;"https://books.google.it/books?id=_WsuAAAAYAAJ";"https://";"";"books.google.it";"books?id=_WsuAAAAYAAJ";"";45;
2;258;1;"http://stats-1.archeogr.unisi.it/repetti/documenti/vol_I.pdf";"http://";"";"stats-1.archeogr.unisi.it";"repetti/documenti/vol_I.pdf";"";60;
2;259;1;"http://stats-1.archeogr.unisi.it/repetti/database.php";"http://";"";"stats-1.archeogr.unisi.it";"repetti/database.php";"";53;
2;260;1;"https://archiviodistato.firenze.it/statocivile/granducato_1.html";"https://";"";"archiviodistato.firenze.it";"statocivile/granducato_1.html";"";64;
2;261;1;"https://it.wikipedia.org/wiki/File:Mappa_del_Granducato_di_Toscana_nel_1815.png";"https://";"";"it.wikipedia.org";"wiki/File:Mappa_del_Granducato_di_Toscana_nel_1815.png";"";79;
2;262;1;"https://it.wikipedia.org/wiki/File:Granduchy_of_Tuscany_1815_(location).png";"https://";"";"it.wikipedia.org";"wiki/File:Granduchy_of_Tuscany_1815_(location).png";"";75;
2;263;1;"https://it.wikipedia.org/wiki/Legge_23_ottobre_1859_n._3702";"https://";"";"it.wikipedia.org";"wiki/Legge_23_ottobre_1859_n._3702";"";59;
2;264;1;"https://it.wikipedia.org/wiki/Legge_20_marzo_1865,_n._2248";"https://";"";"it.wikipedia.org";"wiki/Legge_20_marzo_1865,_n._2248";"";58;
2;265;1;"tinyurl.com/wrp38ybd";"https://";"";"tinyurl.com";"wrp38ybd";"";20;
2;266;1;"https://www.gazzettaufficiale.it/eli/gu/1946/03/04/53/sg/pdf";"https://";"www";"gazzettaufficiale.it";"eli/gu/1946/03/04/53/sg/pdf";"";60;
2;267;1;"https://www.gazzettaufficiale.it/eli/gu/2009/02/20/42/so/25/sg/pdf";"https://";"www";"gazzettaufficiale.it";"eli/gu/2009/02/20/42/so/25/sg/pdf";"";66;
2;268;1;"https://www.gazzettaufficiale.it/eli/gu/2009/12/14/290/so/234/sg/pdf";"https://";"www";"gazzettaufficiale.it";"eli/gu/2009/12/14/290/so/234/sg/pdf";"";68;
2;269;1;"http://www.elesh.it/storiacomuni/storia_comune.asp?istat=045009";"http://";"www";"elesh.it";"storiacomuni/storia_comune.asp?istat=045009";"";63;
2;270;1;"https://it.wikipedia.org/wiki/Provincia_di_Massa-Carrara";"https://";"";"it.wikipedia.org";"wiki/Provincia_di_Massa-Carrara";"";56;
2;271;1;"palareti.eu";"";"";"palareti.eu";"";"";11;
2;272;1;"https://palareti.eu/TerritoriItaliani/Appendice2.html";"https://";"";"palareti.eu";"TerritoriItaliani/Appendice2.html";"";53;
2;273;1;"https://www.istat.it/it/files/2013/11/Descrizione-dati-Pubblicazione-2016.03.09.pdf";"https://";"www";"istat.it";"it/files/2013/11/Descrizione-dati-Pubblicazione-2016.03.09.pdf";"";83;
2;274;1;"tinyurl.com/4tjjduk3";"https://";"";"tinyurl.com";"4tjjduk3";"";20;
2;275;1;"https://books.google.it/books?id=1KVDAAAAcAAJ";"https://";"";"books.google.it";"books?id=1KVDAAAAcAAJ";"";45;
2;276;1;"tinyurl.com/zh527jka";"https://";"";"tinyurl.com";"zh527jka";"";20;
2;277;1;"tinyurl.com/33bzmkz8";"https://";"";"tinyurl.com";"33bzmkz8";"";20;
2;278;1;"https://it.wikipedia.org/wiki/Suddivisione_amministrativa_del_Regno_delle_Due_Sicilie";"https://";"";"it.wikipedia.org";"wiki/Suddivisione_amministrativa_del_Regno_delle_Due_Sicilie";"";85;
